,AYB,Discretise,Frequency
1844,1949.0,Old,2382
1845,1925.0,Old,2382
1846,1923.0,Old,2382
1847,1923.0,Old,2382
1848,1954.0,New,433
1849,1955.0,New,433
1850,1953.0,New,433
1851,1942.0,Old,2382
1852,1942.0,Old,2382
1853,1950.0,Old,2382
1854,1915.0,Old,2382
1855,1955.0,New,433
1856,1958.0,New,433
1857,1927.0,Old,2382
1858,1927.0,Old,2382
1859,2013.0,Very New,175
1860,2011.0,Very New,175
1861,1950.0,Old,2382
1862,1948.0,Old,2382
1863,1905.0,Old,2382
1864,1900.0,Old,2382
1865,1937.0,Old,2382
1866,1935.0,Old,2382
1867,1956.0,New,433
1868,2013.0,Very New,175
1869,1952.0,New,433
1870,1922.0,Old,2382
1871,2011.0,Very New,175
1872,1941.0,Old,2382
1873,1941.0,Old,2382
1874,1941.0,Old,2382
1875,1951.0,New,433
1876,1954.0,New,433
1877,1954.0,New,433
1878,1956.0,New,433
1879,1949.0,Old,2382
1880,1952.0,New,433
1881,1954.0,New,433
1882,1952.0,New,433
1883,1927.0,Old,2382
1884,1952.0,New,433
1885,1950.0,Old,2382
1886,1950.0,Old,2382
1887,1940.0,Old,2382
1888,1940.0,Old,2382
1889,1952.0,New,433
1890,1951.0,New,433
1891,1951.0,New,433
1892,1940.0,Old,2382
1893,1947.0,Old,2382
1894,1947.0,Old,2382
1895,1917.0,Old,2382
1896,1954.0,New,433
1897,1954.0,New,433
1898,1951.0,New,433
1899,1912.0,Old,2382
1900,1923.0,Old,2382
1901,1955.0,New,433
1902,1939.0,Old,2382
1903,1941.0,Old,2382
1904,1942.0,Old,2382
1905,1943.0,Old,2382
1906,2011.0,Very New,175
1907,2011.0,Very New,175
1908,1925.0,Old,2382
1909,1949.0,Old,2382
1910,1984.0,New,433
1911,1953.0,New,433
1912,1955.0,New,433
1913,1983.0,New,433
1914,1951.0,New,433
1915,1955.0,New,433
1916,1950.0,Old,2382
1917,1950.0,Old,2382
1918,1926.0,Old,2382
1919,1948.0,Old,2382
1920,1946.0,Old,2382
1921,1900.0,Old,2382
1922,1931.0,Old,2382
1923,1953.0,New,433
1924,1955.0,New,433
1925,1955.0,New,433
1926,1952.0,New,433
1927,1952.0,New,433
1928,1941.0,Old,2382
1929,1926.0,Old,2382
1930,1926.0,Old,2382
1931,1955.0,New,433
1932,1950.0,Old,2382
1933,1950.0,Old,2382
1934,1947.0,Old,2382
1935,1952.0,New,433
1936,1948.0,Old,2382
1937,1944.0,Old,2382
1938,1948.0,Old,2382
1939,1948.0,Old,2382
1940,1931.0,Old,2382
1941,1954.0,New,433
1942,1951.0,New,433
1943,1955.0,New,433
1944,1931.0,Old,2382
1945,1983.0,New,433
1946,1949.0,Old,2382
1947,1949.0,Old,2382
1948,1925.0,Old,2382
1949,1925.0,Old,2382
1950,1950.0,Old,2382
1951,1956.0,New,433
1952,1951.0,New,433
1953,1952.0,New,433
1954,1939.0,Old,2382
1955,1955.0,New,433
1956,1953.0,New,433
1957,1910.0,Old,2382
1958,1938.0,Old,2382
1959,1917.0,Old,2382
1960,2006.0,Very New,175
1961,2006.0,Very New,175
1962,2010.0,Very New,175
1963,1937.0,Old,2382
1964,1937.0,Old,2382
1965,1937.0,Old,2382
1966,1910.0,Old,2382
1967,1978.0,New,433
1968,2013.0,Very New,175
1969,1923.0,Old,2382
1970,1912.0,Old,2382
1971,1918.0,Old,2382
1972,1900.0,Old,2382
1973,1952.0,New,433
1974,1952.0,New,433
1975,1952.0,New,433
1976,1905.0,Old,2382
1977,1923.0,Old,2382
1978,1939.0,Old,2382
1979,1948.0,Old,2382
1980,1910.0,Old,2382
1981,1931.0,Old,2382
1982,1939.0,Old,2382
1983,1939.0,Old,2382
1984,1951.0,New,433
1985,1979.0,New,433
1986,1900.0,Old,2382
1987,1949.0,Old,2382
1988,1910.0,Old,2382
1989,1980.0,New,433
1990,1926.0,Old,2382
1991,1923.0,Old,2382
1992,1951.0,New,433
1993,1951.0,New,433
1994,1951.0,New,433
1995,1953.0,New,433
1996,1974.0,New,433
1997,2008.0,Very New,175
1998,2008.0,Very New,175
1999,1947.0,Old,2382
2000,1918.0,Old,2382
2001,1979.0,New,433
2002,1925.0,Old,2382
2003,1925.0,Old,2382
2004,1953.0,New,433
2005,1912.0,Old,2382
2006,1948.0,Old,2382
